Education_Level,Experience,Projects,Skills,Certifications,Domain,Job Role,Courses,Keywords,Technologies
Bachelor,3-5 years,"Web Development, AI, Data Science","React, ML, AWS",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Data Science, AWS, React, AI, ML, Web Development","AWS, React, ML"
PhD,5+ years,"AI, Web Development, Machine Learning","ML, SQL, AWS","Azure Fundamentals, Google Data Engineer",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","Machine Learning, AWS, AI, ML, SQL, Web Development","AWS, ML, SQL"
Bachelor,1-3 years,"Cloud Computing, Machine Learning","Java, Docker, AWS","AWS Certified, Azure Fundamentals",IT,AI Engineer,"AWS Training, Azure Fundamentals","Machine Learning, AWS, Docker, Java, Cloud Computing","AWS, Docker, Java"
Bachelor,3-5 years,"AI, Cloud Computing","Java, ML, Docker, SQL",AWS Certified,IT,AI Engineer,AWS Training,"AI, Docker, Java, ML, SQL, Cloud Computing","Docker, Java, ML, SQL"
Master,0-1 years,"Web Development, AI","Docker, AWS, SQL, ML, Java",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"AWS, AI, Docker, ML, Java, SQL, Web Development","AWS, Docker, ML, Java, SQL"
PhD,1-3 years,"Web Development, Cloud Computing","AWS, Docker, Python, SQL","Google Data Engineer, AWS Certified",IT,Web Developer,"AWS Training, Google Cloud Certification","Python, AWS, Docker, SQL, Web Development, Cloud Computing","AWS, Docker, SQL"
Master,3-5 years,Machine Learning,"ML, React, Python","Azure Fundamentals, AWS Certified",IT,AI Engineer,"AWS Training, Azure Fundamentals","Machine Learning, React, ML, Python","React, ML"
Master,3-5 years,Web Development,"SQL, AWS, Java","Azure Fundamentals, AWS Certified",IT,Web Developer,"AWS Training, Azure Fundamentals","SQL, Java, Web Development, AWS","SQL, Java, AWS"
PhD,1-3 years,Data Science,"Python, ML, React",AWS Certified,IT,Data Scientist,AWS Training,"Data Science, Python, React, ML","React, ML"
Master,1-3 years,Cybersecurity,"Java, React, Python",AWS Certified,IT,Software Engineer,AWS Training,"Java, Python, React, Cybersecurity","Java, React"
Bachelor,5+ years,"AI, Machine Learning, Web Development","React, Docker, AWS, ML",AWS Certified,IT,AI Engineer,AWS Training,"Machine Learning, AWS, React, AI, Docker, ML, Web Development","AWS, React, Docker, ML"
PhD,0-1 years,"Data Science, Cybersecurity, Machine Learning","React, AWS, SQL, Docker, Python","Google Data Engineer, Azure Fundamentals",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","Machine Learning, Python, Data Science, AWS, Cybersecurity, Docker, SQL, React","AWS, Docker, SQL, React"
Bachelor,3-5 years,AI,"Docker, AWS, Java","Google Data Engineer, AWS Certified",IT,AI Engineer,"AWS Training, Google Cloud Certification","AI, Java, Docker, AWS","Java, Docker, AWS"
