Job Role,Skills,Certifications,Courses,Projects,Experience Level,Education,Industry,Keywords,Technologies
DevOps Engineer,"ReactJS, Java, Docker, C++, TensorFlow",Oracle Certified DBA,"Data Structures, Cybersecurity Fundamentals, Cloud Computing",Data Visualization Tool,Senior,B.Tech in Computer Science,Cybersecurity,"C++, SQL","Git, Kubernetes, Docker"
AI Engineer,"SQL, Docker, Java, Kubernetes","Certified Data Scientist, Oracle Certified DBA","Cybersecurity Fundamentals, Machine Learning, Data Structures","Fake News Detection, Network Security System",Mid,B.Tech in Computer Science,Cybersecurity,"NodeJS, C++, Python","Kubernetes, Azure, Docker"
Backend Developer,"Docker, SQL, NodeJS","Certified Data Scientist, Google Cloud Professional, Oracle Certified DBA","Web Development, Cloud Computing",E-commerce Website,Entry,Diploma in IT,AI,"Docker, Kubernetes","Azure, Kubernetes, Git"
Software Engineer,"Kubernetes, NodeJS, Docker","Google Cloud Professional, Certified Data Scientist","Cybersecurity Fundamentals, Data Structures, Machine Learning","E-commerce Website, Chatbot Development",Mid,MCA,IT,"Docker, Java, Python, TensorFlow","Kubernetes, Git, Azure"
Cybersecurity Analyst,"Java, C++, Docker, ReactJS","Oracle Certified DBA, Microsoft Azure Administrator, Google Cloud Professional","Cybersecurity Fundamentals, Web Development, Machine Learning","Data Visualization Tool, E-commerce Website",Mid,B.Tech in Computer Science,Cloud Computing,"JavaScript, TensorFlow, Python, NodeJS","Azure, Docker, AWS"
Backend Developer,"TensorFlow, JavaScript, Docker, Python, Kubernetes","Google Cloud Professional, Microsoft Azure Administrator, AWS Certified Developer","Web Development, Cybersecurity Fundamentals, Machine Learning","Network Security System, E-commerce Website",Entry,BCA,IT,"Docker, NodeJS, Python, ReactJS","AWS, Azure"
Backend Developer,"Kubernetes, SQL, Java, Docker","Certified Data Scientist, Google Cloud Professional, Microsoft Azure Administrator","Web Development, Cloud Computing, Data Structures, Machine Learning","Chatbot Development, E-commerce Website",Mid,MCA,Cybersecurity,"TensorFlow, ReactJS","Docker, Git, Kubernetes"
Backend Developer,"Docker, NodeJS, JavaScript","Oracle Certified DBA, Certified Data Scientist","Web Development, Data Structures, Machine Learning",Fake News Detection,Mid,B.Tech in Computer Science,Software,"ReactJS, TensorFlow, NodeJS, Kubernetes","AWS, Kubernetes"
Cybersecurity Analyst,"NodeJS, Java, C++","Certified Data Scientist, Microsoft Azure Administrator, Google Cloud Professional","Web Development, Machine Learning","Data Visualization Tool, E-commerce Website",Entry,B.Tech in Computer Science,IT,"JavaScript, SQL","Azure, AWS, Kubernetes"
Full Stack Developer,"Kubernetes, Java, Python","Oracle Certified DBA, Google Cloud Professional","Web Development, Cybersecurity Fundamentals","Data Visualization Tool, Network Security System",Mid,B.Tech in Computer Science,Software,"ReactJS, NodeJS, SQL","Git, AWS"
Frontend Developer,"C++, Kubernetes, Java, ReactJS","Google Cloud Professional, Microsoft Azure Administrator, Oracle Certified DBA","Web Development, Machine Learning, Data Structures, Cloud Computing",Fake News Detection,Entry,M.Sc in Data Science,AI,"NodeJS, JavaScript, TensorFlow","AWS, Git"
Data Scientist,"C++, Kubernetes, ReactJS, Java","Microsoft Azure Administrator, Certified Data Scientist","Web Development, Machine Learning, Cybersecurity Fundamentals, Data Structures","Network Security System, E-commerce Website",Senior,B.Tech in Computer Science,Cybersecurity,"Docker, TensorFlow, Kubernetes, SQL","Kubernetes, Azure, AWS"
Backend Developer,"Java, C++, ReactJS, JavaScript, Docker","Certified Data Scientist, Microsoft Azure Administrator","Web Development, Cloud Computing, Data Structures, Cybersecurity Fundamentals","Network Security System, Data Visualization Tool",Mid,Diploma in IT,Cloud Computing,"Python, C++, SQL","AWS, Azure"
Cloud Architect,"JavaScript, C++, TensorFlow, SQL",Google Cloud Professional,"Data Structures, Cloud Computing","Fake News Detection, Data Visualization Tool",Entry,Diploma in IT,Cybersecurity,"Python, Kubernetes","Docker, AWS, Git"
AI Engineer,"Docker, SQL, Java, ReactJS","Google Cloud Professional, Oracle Certified DBA","Cybersecurity Fundamentals, Cloud Computing","E-commerce Website, Fake News Detection",Mid,M.Sc in Data Science,Software,"SQL, NodeJS, Docker, Python","Docker, Kubernetes"
Cloud Architect,"Kubernetes, JavaScript, Docker",Certified Data Scientist,"Cybersecurity Fundamentals, Cloud Computing, Machine Learning",Chatbot Development,Senior,Diploma in IT,Cybersecurity,"Kubernetes, NodeJS, ReactJS, Python","Azure, Docker"
Full Stack Developer,"Java, TensorFlow, C++, Kubernetes, NodeJS",Google Cloud Professional,"Cloud Computing, Web Development, Machine Learning, Cybersecurity Fundamentals",Data Visualization Tool,Senior,MCA,Cybersecurity,"Python, C++, TensorFlow","AWS, Azure, Kubernetes"
DevOps Engineer,"Kubernetes, Python, ReactJS, TensorFlow, JavaScript","Microsoft Azure Administrator, Google Cloud Professional","Cybersecurity Fundamentals, Cloud Computing, Data Structures, Web Development","Fake News Detection, Data Visualization Tool",Senior,M.Sc in Data Science,IT,"SQL, Kubernetes, TensorFlow, Java","Docker, Kubernetes, Git"
Cloud Architect,"Java, Docker, NodeJS, JavaScript, TensorFlow",Google Cloud Professional,"Cloud Computing, Data Structures",Chatbot Development,Senior,MCA,Cloud Computing,"C++, TensorFlow","AWS, Git, Docker"
Cybersecurity Analyst,"JavaScript, C++, TensorFlow, ReactJS, NodeJS","Google Cloud Professional, Certified Data Scientist, Microsoft Azure Administrator","Cloud Computing, Cybersecurity Fundamentals, Data Structures",Fake News Detection,Mid,Diploma in IT,AI,"JavaScript, Python, SQL","Azure, AWS"
Frontend Developer,"JavaScript, Docker, NodeJS, Java","Microsoft Azure Administrator, Oracle Certified DBA","Data Structures, Machine Learning, Cybersecurity Fundamentals",E-commerce Website,Entry,Diploma in IT,Software,"SQL, ReactJS","Git, Kubernetes, Azure"
Full Stack Developer,"JavaScript, ReactJS, Java, C++, NodeJS","Google Cloud Professional, Certified Data Scientist, Oracle Certified DBA","Web Development, Cloud Computing","Data Visualization Tool, Chatbot Development",Senior,Diploma in IT,AI,"JavaScript, SQL, NodeJS, Docker","Azure, Docker, Git"
Cloud Architect,"Kubernetes, SQL, Java, C++",AWS Certified Developer,"Machine Learning, Cloud Computing, Web Development, Data Structures",Chatbot Development,Entry,Diploma in IT,IT,"NodeJS, Java, C++","Azure, Git"
Backend Developer,"JavaScript, ReactJS, TensorFlow","Certified Data Scientist, AWS Certified Developer, Google Cloud Professional","Data Structures, Machine Learning, Cybersecurity Fundamentals, Web Development",Network Security System,Entry,BCA,IT,"C++, NodeJS","Git, Azure"
Data Scientist,"ReactJS, Kubernetes, Java, NodeJS",AWS Certified Developer,"Machine Learning, Data Structures, Web Development",E-commerce Website,Mid,B.Tech in Computer Science,Cloud Computing,"Docker, JavaScript, Kubernetes","Azure, AWS"
Full Stack Developer,"Docker, C++, ReactJS, SQL, Java","Microsoft Azure Administrator, Certified Data Scientist","Cloud Computing, Cybersecurity Fundamentals, Machine Learning, Data Structures",Data Visualization Tool,Senior,B.Tech in Computer Science,Software,"Kubernetes, C++, ReactJS","Docker, AWS"
Backend Developer,"JavaScript, Kubernetes, Python, Java, TensorFlow","Microsoft Azure Administrator, Oracle Certified DBA, Google Cloud Professional","Data Structures, Cybersecurity Fundamentals, Web Development, Cloud Computing",E-commerce Website,Entry,B.Tech in Computer Science,Cloud Computing,"SQL, NodeJS, Kubernetes, JavaScript","AWS, Kubernetes"
AI Engineer,"NodeJS, Kubernetes, SQL",Oracle Certified DBA,"Cloud Computing, Web Development",Chatbot Development,Entry,BCA,Cybersecurity,"SQL, ReactJS","Git, Azure, Kubernetes"
Cloud Architect,"Java, SQL, Docker",AWS Certified Developer,"Web Development, Cloud Computing, Cybersecurity Fundamentals, Machine Learning","Fake News Detection, E-commerce Website",Entry,Diploma in IT,Cloud Computing,"SQL, ReactJS","Kubernetes, Azure"
DevOps Engineer,"Python, ReactJS, Kubernetes, Docker, JavaScript","Oracle Certified DBA, Microsoft Azure Administrator, AWS Certified Developer","Data Structures, Cloud Computing, Web Development",Fake News Detection,Entry,BCA,IT,"ReactJS, C++, TensorFlow","AWS, Azure, Kubernetes"
Database Administrator,"Python, Kubernetes, C++, NodeJS",Oracle Certified DBA,"Cybersecurity Fundamentals, Cloud Computing, Machine Learning, Web Development","Fake News Detection, Chatbot Development",Entry,MCA,AI,"ReactJS, NodeJS, SQL, JavaScript","Azure, AWS, Kubernetes"
AI Engineer,"NodeJS, Java, JavaScript, TensorFlow","AWS Certified Developer, Microsoft Azure Administrator","Machine Learning, Cybersecurity Fundamentals, Cloud Computing, Data Structures",Chatbot Development,Senior,M.Sc in Data Science,Cybersecurity,"Python, C++, TensorFlow","AWS, Docker, Kubernetes"
Database Administrator,"Java, Docker, Python",Google Cloud Professional,"Cloud Computing, Cybersecurity Fundamentals",Data Visualization Tool,Entry,Diploma in IT,AI,"JavaScript, Kubernetes, C++","Azure, Docker, Git"
Frontend Developer,"TensorFlow, SQL, Java, C++","AWS Certified Developer, Microsoft Azure Administrator","Machine Learning, Data Structures, Cloud Computing","Fake News Detection, Data Visualization Tool",Senior,MCA,Cloud Computing,"Docker, C++","Azure, AWS, Git"
AI Engineer,"SQL, Kubernetes, ReactJS, NodeJS, TensorFlow","Oracle Certified DBA, Certified Data Scientist, AWS Certified Developer","Machine Learning, Data Structures, Web Development, Cloud Computing",Fake News Detection,Mid,M.Sc in Data Science,IT,"Docker, Kubernetes, ReactJS","Azure, Kubernetes, AWS"
AI Engineer,"NodeJS, TensorFlow, Python, C++","Google Cloud Professional, Oracle Certified DBA","Machine Learning, Web Development, Cybersecurity Fundamentals, Cloud Computing","Data Visualization Tool, Network Security System",Mid,M.Sc in Data Science,IT,"ReactJS, Java","AWS, Kubernetes"
Full Stack Developer,"ReactJS, SQL, TensorFlow, Docker, C++","Microsoft Azure Administrator, Google Cloud Professional, AWS Certified Developer","Data Structures, Cloud Computing, Web Development, Machine Learning",Network Security System,Mid,BCA,IT,"JavaScript, TensorFlow, NodeJS, SQL","Git, Kubernetes, AWS"
AI Engineer,"ReactJS, JavaScript, Kubernetes, NodeJS","Microsoft Azure Administrator, Google Cloud Professional, AWS Certified Developer","Web Development, Cybersecurity Fundamentals, Cloud Computing, Machine Learning",Chatbot Development,Entry,Diploma in IT,Software,"Docker, SQL, Python","AWS, Git"
Software Engineer,"ReactJS, TensorFlow, SQL",Google Cloud Professional,"Machine Learning, Cloud Computing",E-commerce Website,Senior,Diploma in IT,Software,"NodeJS, Kubernetes, Python","AWS, Docker, Azure"
Cybersecurity Analyst,"C++, Python, Java",Google Cloud Professional,"Data Structures, Cybersecurity Fundamentals, Machine Learning, Web Development","Fake News Detection, E-commerce Website",Senior,MCA,Cloud Computing,"TensorFlow, JavaScript, ReactJS, SQL","Kubernetes, AWS, Docker"
Full Stack Developer,"Kubernetes, SQL, NodeJS",Oracle Certified DBA,"Web Development, Cloud Computing, Cybersecurity Fundamentals","Fake News Detection, Network Security System",Entry,B.Tech in Computer Science,AI,"Java, NodeJS, C++, TensorFlow","Docker, Git"
Cybersecurity Analyst,"NodeJS, TensorFlow, SQL, Kubernetes","Google Cloud Professional, AWS Certified Developer, Microsoft Azure Administrator","Cloud Computing, Cybersecurity Fundamentals",Data Visualization Tool,Entry,B.Tech in Computer Science,Cloud Computing,"ReactJS, Kubernetes, SQL","Git, AWS"
DevOps Engineer,"C++, Java, ReactJS, Docker","Oracle Certified DBA, Google Cloud Professional","Web Development, Data Structures, Machine Learning",Network Security System,Mid,B.Tech in Computer Science,Cybersecurity,"Kubernetes, JavaScript, Docker, Java","Kubernetes, Azure, Docker"
DevOps Engineer,"C++, Kubernetes, JavaScript, NodeJS, SQL","Certified Data Scientist, Google Cloud Professional, AWS Certified Developer","Data Structures, Web Development, Machine Learning, Cybersecurity Fundamentals",Data Visualization Tool,Senior,BCA,Cybersecurity,"C++, TensorFlow, Docker","Kubernetes, AWS, Git"
Database Administrator,"TensorFlow, Python, ReactJS","Google Cloud Professional, Oracle Certified DBA","Machine Learning, Cloud Computing, Data Structures, Cybersecurity Fundamentals","Network Security System, Chatbot Development",Mid,MCA,Cybersecurity,"SQL, Python","Azure, Docker, Git"
AI Engineer,"Java, C++, JavaScript, SQL, TensorFlow","Oracle Certified DBA, Microsoft Azure Administrator","Data Structures, Cybersecurity Fundamentals, Cloud Computing",Chatbot Development,Entry,BCA,AI,"TensorFlow, Java, C++","Git, Docker, Kubernetes"
Backend Developer,"Docker, TensorFlow, SQL, JavaScript, Kubernetes","Microsoft Azure Administrator, Google Cloud Professional","Cloud Computing, Data Structures, Web Development","E-commerce Website, Network Security System",Mid,B.Tech in Computer Science,Cloud Computing,"ReactJS, Kubernetes, TensorFlow, JavaScript","Git, Azure, Docker"
Cybersecurity Analyst,"ReactJS, Kubernetes, Python, NodeJS","Oracle Certified DBA, Google Cloud Professional, Certified Data Scientist","Cybersecurity Fundamentals, Cloud Computing, Machine Learning, Web Development",Network Security System,Mid,B.Tech in Computer Science,Software,"C++, JavaScript, Java, TensorFlow","Git, Azure"
Backend Developer,"Python, C++, Kubernetes, Java",Google Cloud Professional,"Cybersecurity Fundamentals, Web Development, Cloud Computing",E-commerce Website,Senior,MCA,Cybersecurity,"Java, C++, JavaScript","Kubernetes, Azure, Docker"
Cybersecurity Analyst,"Java, TensorFlow, C++, SQL, ReactJS","AWS Certified Developer, Oracle Certified DBA","Data Structures, Machine Learning, Cloud Computing","Chatbot Development, Data Visualization Tool",Entry,MCA,AI,"Python, Kubernetes, JavaScript, Java","AWS, Azure"
Database Administrator,"C++, Python, TensorFlow, Kubernetes, Java","Oracle Certified DBA, Certified Data Scientist, Google Cloud Professional","Cloud Computing, Data Structures, Machine Learning",Chatbot Development,Senior,BCA,Cybersecurity,"Docker, NodeJS","AWS, Git, Azure"
Frontend Developer,"TensorFlow, Java, ReactJS, Kubernetes","Oracle Certified DBA, Microsoft Azure Administrator","Web Development, Data Structures","Fake News Detection, Data Visualization Tool",Senior,Diploma in IT,Software,"JavaScript, Java, Docker","Docker, Git, Kubernetes"
Software Engineer,"C++, Java, Python","Microsoft Azure Administrator, Google Cloud Professional, AWS Certified Developer","Cloud Computing, Machine Learning, Web Development","Fake News Detection, E-commerce Website",Mid,Diploma in IT,Cloud Computing,"JavaScript, C++, Python","Docker, Azure"
Cloud Architect,"Java, ReactJS, NodeJS, TensorFlow, SQL","Certified Data Scientist, Microsoft Azure Administrator, AWS Certified Developer","Machine Learning, Cloud Computing, Data Structures, Cybersecurity Fundamentals",Network Security System,Senior,BCA,IT,"Docker, Kubernetes","AWS, Docker, Azure"
DevOps Engineer,"SQL, Java, Kubernetes, Python, TensorFlow","Certified Data Scientist, Google Cloud Professional, AWS Certified Developer","Data Structures, Cybersecurity Fundamentals, Cloud Computing","Data Visualization Tool, Fake News Detection",Mid,Diploma in IT,AI,"ReactJS, TensorFlow, C++","AWS, Kubernetes, Azure"
Frontend Developer,"ReactJS, Kubernetes, C++","AWS Certified Developer, Oracle Certified DBA","Data Structures, Cloud Computing, Cybersecurity Fundamentals, Web Development","Network Security System, Fake News Detection",Senior,B.Tech in Computer Science,AI,"Python, Java","Azure, Git"
Cloud Architect,"NodeJS, Docker, C++, Kubernetes, Python","Google Cloud Professional, Microsoft Azure Administrator, AWS Certified Developer","Web Development, Machine Learning, Data Structures",Chatbot Development,Mid,Diploma in IT,Software,"Java, ReactJS","Docker, Azure, AWS"
DevOps Engineer,"SQL, Docker, Java, TensorFlow",Certified Data Scientist,"Cybersecurity Fundamentals, Web Development","E-commerce Website, Network Security System",Mid,B.Tech in Computer Science,Cybersecurity,"NodeJS, TensorFlow","Docker, Git, AWS"
AI Engineer,"Kubernetes, ReactJS, Python","Microsoft Azure Administrator, Oracle Certified DBA","Data Structures, Web Development, Cybersecurity Fundamentals, Cloud Computing","Fake News Detection, Chatbot Development",Mid,Diploma in IT,Cybersecurity,"NodeJS, Docker, Python, ReactJS","Docker, AWS, Kubernetes"
Frontend Developer,"Java, SQL, NodeJS","Google Cloud Professional, Microsoft Azure Administrator","Cybersecurity Fundamentals, Web Development, Machine Learning","Chatbot Development, Data Visualization Tool",Mid,B.Tech in Computer Science,AI,"Java, Python, NodeJS, TensorFlow","Azure, Docker, Kubernetes"
Cloud Architect,"Python, Java, C++, JavaScript, SQL","AWS Certified Developer, Microsoft Azure Administrator, Google Cloud Professional","Data Structures, Cybersecurity Fundamentals","Data Visualization Tool, Chatbot Development",Entry,MCA,Cybersecurity,"Kubernetes, NodeJS","Docker, AWS, Git"
DevOps Engineer,"ReactJS, Java, JavaScript","Certified Data Scientist, Microsoft Azure Administrator, Google Cloud Professional","Cloud Computing, Machine Learning","Chatbot Development, Fake News Detection",Entry,B.Tech in Computer Science,Cloud Computing,"Python, Docker, TensorFlow, SQL","Azure, Docker, AWS"
Database Administrator,"Java, ReactJS, Kubernetes","Google Cloud Professional, Certified Data Scientist, Oracle Certified DBA","Data Structures, Cybersecurity Fundamentals, Machine Learning, Cloud Computing","Fake News Detection, E-commerce Website",Entry,MCA,AI,"C++, NodeJS, Java","Docker, Azure, AWS"
Data Scientist,"Python, JavaScript, SQL, C++",Certified Data Scientist,"Cybersecurity Fundamentals, Cloud Computing","Data Visualization Tool, Network Security System",Senior,Diploma in IT,IT,"ReactJS, TensorFlow","AWS, Azure"
Data Scientist,"Python, Java, Kubernetes, SQL","Oracle Certified DBA, Microsoft Azure Administrator","Cybersecurity Fundamentals, Cloud Computing",Fake News Detection,Mid,MCA,IT,"JavaScript, NodeJS, C++","Azure, Kubernetes"
Frontend Developer,"TensorFlow, NodeJS, C++",Oracle Certified DBA,"Web Development, Cybersecurity Fundamentals, Machine Learning","Chatbot Development, Data Visualization Tool",Mid,BCA,Software,"ReactJS, TensorFlow, Java","AWS, Git"
Software Engineer,"Java, SQL, C++","Microsoft Azure Administrator, Oracle Certified DBA, Certified Data Scientist","Cloud Computing, Cybersecurity Fundamentals, Data Structures",E-commerce Website,Senior,BCA,Cybersecurity,"Kubernetes, C++","Git, Docker, Kubernetes"
Data Scientist,"NodeJS, Python, ReactJS, Kubernetes","Certified Data Scientist, Microsoft Azure Administrator","Web Development, Cloud Computing","Network Security System, Data Visualization Tool",Entry,B.Tech in Computer Science,IT,"TensorFlow, Kubernetes","Kubernetes, AWS, Git"
Backend Developer,"ReactJS, NodeJS, Kubernetes, Java, JavaScript","Oracle Certified DBA, Microsoft Azure Administrator, AWS Certified Developer","Web Development, Machine Learning","Data Visualization Tool, E-commerce Website",Mid,B.Tech in Computer Science,Software,"Python, Docker, C++, ReactJS","Azure, Kubernetes, AWS"
AI Engineer,"NodeJS, Kubernetes, SQL","Microsoft Azure Administrator, AWS Certified Developer, Oracle Certified DBA","Machine Learning, Web Development, Cloud Computing, Cybersecurity Fundamentals",Data Visualization Tool,Mid,MCA,Cloud Computing,"Kubernetes, ReactJS, TensorFlow","Git, AWS"
DevOps Engineer,"Java, TensorFlow, Docker, C++",Microsoft Azure Administrator,"Data Structures, Cybersecurity Fundamentals","Fake News Detection, E-commerce Website",Entry,M.Sc in Data Science,Cybersecurity,"NodeJS, SQL, Docker, ReactJS","AWS, Git"
Backend Developer,"SQL, Java, Docker","Certified Data Scientist, AWS Certified Developer, Microsoft Azure Administrator","Cybersecurity Fundamentals, Machine Learning","E-commerce Website, Network Security System",Entry,MCA,IT,"Kubernetes, C++, Java","AWS, Kubernetes"
DevOps Engineer,"ReactJS, TensorFlow, NodeJS","Certified Data Scientist, Google Cloud Professional","Machine Learning, Cloud Computing",Network Security System,Senior,B.Tech in Computer Science,IT,"C++, Kubernetes, ReactJS","Azure, AWS, Git"
Frontend Developer,"JavaScript, Docker, Python","Certified Data Scientist, Google Cloud Professional","Cloud Computing, Machine Learning, Cybersecurity Fundamentals",E-commerce Website,Entry,MCA,Cloud Computing,"SQL, ReactJS, Docker","AWS, Azure"
Cybersecurity Analyst,"TensorFlow, Docker, NodeJS, Python, ReactJS",AWS Certified Developer,"Cybersecurity Fundamentals, Machine Learning",Chatbot Development,Entry,B.Tech in Computer Science,Cloud Computing,"JavaScript, ReactJS","AWS, Git, Kubernetes"
Database Administrator,"SQL, Docker, TensorFlow, C++, NodeJS","Certified Data Scientist, Microsoft Azure Administrator","Data Structures, Cloud Computing",E-commerce Website,Senior,BCA,Cloud Computing,"Kubernetes, JavaScript","Azure, AWS, Git"
Backend Developer,"NodeJS, Python, Java",Certified Data Scientist,"Cybersecurity Fundamentals, Data Structures, Machine Learning, Web Development",E-commerce Website,Entry,B.Tech in Computer Science,Software,"TensorFlow, C++, ReactJS, Kubernetes","Git, Docker"
DevOps Engineer,"SQL, Python, JavaScript, ReactJS, Java","Google Cloud Professional, Oracle Certified DBA","Data Structures, Web Development, Machine Learning","Data Visualization Tool, Fake News Detection",Senior,B.Tech in Computer Science,IT,"NodeJS, Kubernetes, SQL","Kubernetes, Docker, AWS"
